session_id,session_date,phone_clock_start,phone_clock_end,graph_clock_start,graph_clock_end,gear,load,thermal,coolant_c,engine_run_time,channels_captured,n_screenshots,epoch,purpose,summary,source
P2S-011,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Commanded throttle actuator,7,pre_purge_valve,Is the PCM asking for throttle movement that a binding plate is not delivering,"Commanded flat at 1.57 %, min = max, on a wide 0.6-2.57 axis; later one LSB step to 1.18 % and flat again. Commanded and actual agree and both are static. RPM 623-674, period 3.5-4 s - the clearest rpm trace of the session.",[152];[153]
P2S-012,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Calculated engine load value,6,pre_purge_valve,Independent cross-check on airflow,"Load oscillates with rpm at the same ~3.5 s period, about 1 percentage point on ~28 %, toggling 2-3 LSBs. Not an independent witness - calculated load is PCM arithmetic on MAF, rpm, baro and IAT.",[154];[155]
P2S-013,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Lambda + Air:fuel ratio,11,pre_purge_valve,Is the actual mixture swinging even though the trim correction is flat,"Lambda 0.98-1.02, AFR 14.37-14.97, clean smooth sine at ~3.4 s - the same period as rpm. A +/-2 % mixture swing. This overturned the earlier 'fuel control eliminated' conclusion drawn from flat STFT.",[156];[157]
P2S-014,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + ECU voltage,5,pre_purge_valve,Electrical instability tracking rpm,"Min 12.39, max 12.82, average 12.62-12.67 with the engine running, swinging 0.43 V p2p with rapid irregular spikes. Earlier in the same session the same truck read 13.76 / 14.0 / 13.8 V. Either Ford smart charging or the alternator has stopped; multimeter check deferred by the owner to the next day.",[160];[161]
P2S-015,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Fuel/Air commanded equivalence ratio,5,pre_purge_valve,"Is the PCM commanding the mixture swing, or is it happening for a physical reason","Commanded ratio is a clean square wave toggling between exactly 14.41 and 14.86 with nothing in between, period 3.5-4 s. The PCM commands the dither; measured lambda is that square wave filtered by exhaust mixing and sensor response.",[162];[163]
P2S-016,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Oxygen sensor 2 Bank 1 Voltage,6,pre_purge_valve,Is the bank 1 catalyst buffering the dither,"Downstream B1 swings 0.17-0.82 V in clean full-range sweeps at the same 3.5-4 s period, average 0.58-0.63. Sensor itself fast, transitions under a second. Catalyst temp 458 C after nearly an hour of idling.",[164];[165]
P2S-017,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Oxygen sensor 2 Bank 2 Voltage,4,pre_purge_valve,Bank comparison against P2S-016,"Downstream B2 average 0.70-0.72 V, minima 0.30-0.39, maxima 0.80-0.83, biased high with shallower dips. Better than bank 1 but not flat. The only asymmetry found in the whole dataset.",[166];[167]
P2S-018,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + O2S1 air:fuel (Oxygen sensor 1 Wide Range Equivalence ratio),5,pre_purge_valve,Upstream bank 1 sensor speed and range,"Swings 14.41-15.05 AFR with clean transitions well under a second, tracking the commanded dither with the small overshoot expected from transport delay. Clears the 'cleaning made the sensors lazy' hypothesis on response speed.",[168];[169]
P2S-019,2026-09-04,unknown,unknown,4:32,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + O2S5 air:fuel (Oxygen sensor 5 Wide Range Equivalence ratio),7,pre_purge_valve,Upstream bank 2 - does fuelling match bank 1,"14.35-15.23 AFR, avg 14.66-14.70, same period and same clean fast transitions as bank 1. The 15.23/14.12 excursion coincides with an rpm spike to 715 at graph clock 4:32. RPM in these windows 616-679. Assistant concluded fuelling was symmetric - a conclusion overturned at [179] by the bank 2 trim.",[170];[171];[173]
P2S-020,2026-09-04,12:48,12:51,21:20,23:55,unknown,idle,warm,unknown,unknown,Engine RPM + Short term fuel % trim - Bank 2,9,pre_purge_valve,"Bank 2 trim, the gap in the fuel picture","Bank 2 STFT sits stepping between 3.13 and 3.91 % across all nine windows (true value ~+3.5 %) with excursions to 5.47 and 6.25 and dips to 1.56, against bank 1's ~0 %. Also settled the graph timebase beyond doubt: graph clock 21:20-23:55 (2 min 35 s) against phone clock 12:48-12:51 (~3 min), so the axis is MM:SS, gridlines 5 s, screen ~15 s.",[178];[179]
P3S-001,2026-09-04,10:26,10:33,unknown,unknown,unknown,idle,warm,unknown,about 37 min idling,Vehicle Battery Voltage; Vehicle Battery Current; Battery SoC; Short term fuel % trim - Bank 1; Short term fuel % trim - Bank 2; Catalyst temperature Bank 1 Sensor 1; Catalyst temperature Bank 2 Sensor 1; Knock retard; Barometric pressure; Manifold absolute pressure (high resolution); Absolute pedal position D; Absolute pedal position E; PCM Odometer; ATF temperature; Ambient air temperature; Intake air temperature; Gear (AT); Monitor status since DTCs cleared.; Throttle position; Throttle Position Actually,11,pre_purge_valve,"Value-read screens shared to record exact scanner sensor names, plus a monitor-status block","Owner corrected the assistant that these were OLD screenshots from an earlier session and must not be compared with the 12:48-12:51 graph session. Settled: knock retard 0, both catalyst temps 458.9 C, baro and high-res MAP blank, odometer 131313 km. Monitor block showed Fuel System, Catalyst and Oxygen Sensor all Not completed, which cancelled the Mode 06 plan until after a drive. Gear (AT) read 1 and the assistant's question about whether the truck was in Park was never answered.",[182];[183];[185];[186];[187];[188];[190]
P3S-002,2026-09-04,01:00,01:01,unknown,unknown,unknown,idle,warm,unknown,3:06:10,Long term fuel % trim - Bank 1; Long term fuel % trim - Bank 2; Oxygen sensor 2 Bank 1 Voltage; Oxygen sensor 2 Bank 2 Voltage; Vehicle Battery Voltage; Vehicle Battery Current; Battery SoC; Run time since engine start,11,pre_purge_valve,Read the long term trims after three hours of run time to settle whether they had learned,"Long term trims had finally learned: +3.13 B1 and +2.34 B2, 0.79 percent apart which is one quantisation step. That killed the bank-asymmetry family of theories. Battery SoC had risen 88 to 90 percent with current at 0 A, closing the charging question. Owner instructed the assistant to stop looking at the battery.",[191];[192];[194];[195]
P3S-003,2026-09-04,01:13,01:13,45:35,46:43,unknown,idle,warm,unknown,unknown,STFT B1 paired with LTFT - B2,4,pre_purge_valve,Warm idle graph capture while the owner prepared for the 2000 rpm test,LTFT - B2 flat at 2.34 with min = max = average across 70 s while STFT B1 walked steadily from about 0 to -1.6. Assistant used this to state the rule that short term and long term trim are two halves of one total and must always be captured on the same bank.,[195];[196]
P3S-004,2026-09-04,unknown,unknown,50:57,53:45,P,idle then 2000rpm then idle,warm,unknown,unknown,STFT B1 paired with LTFT - B2,13,pre_purge_valve,The 2000 rpm load test - separate a fixed vacuum leak from a proportional airflow calibration error,"LTFT - B2 held 2.34 at idle, stepped to 0.00 flat for 2 min 28 s at about 2000 rpm, and returned to exactly 2.34 the instant the throttle closed. Assistant read this as the PCM switching between two learned load cells, i.e. lean only at idle, i.e. a vacuum leak. STFT B1 spiked +9.38 on tip-in and -11.72 on overrun but was explicitly declared uninterpretable (wrong pairing, rpm unrecorded). Outstanding caveat: the 0 percent cell may be un-learned rather than learned.",[198];[199];[200]
P3S-005,2026-09-04,unknown,unknown,unknown,unknown,P,idle then 2000rpm then idle,warm,98,unknown,LTFT - B1 paired with LTFT - B2,13,pre_purge_valve,Repeat the 2000 rpm test with both banks' long term trim on one screen,"Both banks confirmed: idle +3.13 / +2.34, about 2000 rpm 0 / 0 for 2 min 7 s, idle again 3.12 / 2.34 with min = avg = max. During the hold bank 1 kept flicking to 0.78 (bank 2 less often) as rpm wandered into neighbouring cells, which the assistant read as a smooth gradient rather than a step - the behaviour of a fixed-size opening. Owner reported he could not hold 2000 rpm steady because something kept moving it.",[201];[202]
P3S-006,2026-09-05,unknown,unknown,unknown,unknown,P,idle,warm,unknown,unknown,Short term and Long term fuel % trim Bank 1 and Bank 2,7,post_purge_valve_pre_drive,"First capture after the new purge valve, before any drive - catch short term trim correcting against a stale long term memory","Both long terms read 0 flat and both short terms read negative (B1 -1.5 to -2.0, B2 -0.8 to -1.8). Assistant first read the zeros as learned, then had to withdraw it when the owner revealed the battery had been disconnected and bridged - the KAM was wiped, so 0 is a default. The live total swung about 4.6 points from +3.1 to -1.5 and that survives the wipe.",[212];[213];[216];[217]
P3S-007,2026-09-05,unknown,unknown,unknown,unknown,D,idle,warm,unknown,unknown,Short term and Long term fuel % trim Bank 1 and Bank 2,8,post_purge_valve_pre_drive,"Same channels in Drive at a standstill - the truck now shakes in P and not in D, so this is its own control","Drive short terms sat at about +0.3 and +0.4 against Park's -1.5 and -1.3. Both banks moved the same way by the same amount, about 1.8 points. Assistant read the Park richness as the new purge valve delivering real fuel vapour from a canister the old valve had kept scavenged dry, and called the gap far too small to shake anything.",[214];[215]
P3S-008,2026-09-05,unknown,unknown,14:08,15:12,D,idle,warm,unknown,unknown,Engine RPM paired with Tim. adv.,4,post_purge_valve_pre_drive,The rpm hunt measured in Drive at a standstill,"Idle about 550 rpm with spans of 15, 13 and 18 rpm and no clear rhythm; timing 11-15 deg, about 2 deg of swing. One transient to 584 rpm at graph clock 15:03 with timing pulled from 13 to 8.5 deg. Assistant refused to compare this against the pre-valve Park figures because two variables had changed, and asked for a Park capture in the same session.",[219];[220]
P3S-009,2026-09-05,03:23,03:25,unknown,16:18,P,idle,warm,unknown,unknown,Engine RPM paired with Tim. adv.,5,post_purge_valve_pre_drive,The same capture in Park minutes later - the first clean within-vehicle Park versus Drive comparison,"Idle about 650 rpm with spans of 44, 55, 53 and 50 rpm, a clean regular repeating shape with a period of about 3.4-3.5 s (four humps per screen), and timing swinging 11.5-16 deg. Three times the span seen in Drive. Assistant concluded the hunt and the shake were one thing, then withdrew that in the next exchange when the owner said the shake moves him in the seat.",[221];[222];[223];[257]
P3S-010,2026-09-05,unknown,unknown,8:36,9:41,driving,coast then overrun,warm,unknown,unknown,Engine RPM paired with O2S1 air:fuel,5,post_drive,Deceleration fuel cut test on bank 1 - a leaking injector test done on the engine under real vacuum,Coasting 100 to 30 km/h. O2S1 air:fuel jumped from the closed-loop 13.5-15.8 band to 29.38 the instant the throttle closed and stayed dead flat (min = avg = max) across three windows from about 1850 rpm down to 843. Eliminated a leaking bank 1 injector and proved the bank 1 upstream sensor full-range and fast.,[232];[233];[238]
P3S-011,2026-09-05,unknown,unknown,unknown,unknown,driving,coast then overrun,warm,unknown,unknown,Engine RPM paired with O2S5 air:fuel,4,post_drive,The same fuel cut test on bank 2,"O2S5 air:fuel pegged 29.38 flat with min = avg = max across two windows while rpm fell 1772 to 1381, and it also swept down to 12.33 under power enrichment - a wider sweep than bank 1. Assistant declared the fuel system finished as a suspect.",[237];[238]
P3S-012,2026-09-05,4:04,unknown,unknown,unknown,driving,WOT,warm,unknown,unknown,Abs. load + Engine RPM; MAF + Engine RPM; LTFT - B1 + LTFT - B2,14,post_drive,Wide open throttle breathing test plus the post-drive long term trims,"Abs. load peaked 96.47 percent holding 91-94, MAF rose smoothly 10 to 215.27 g/s with no plateau, rpm pulled cleanly to 6832. Eliminated blocked catalyst, restricted exhaust and intake, and poor volumetric efficiency. Long term trims at 4:04 read -1.56 and -0.78 flat, but the operating condition was never recorded, so which load cell they belong to is unknown.",[240];[241];[242]
P3S-013,2026-09-05,unknown,unknown,n/a,n/a,P,rpm_sweep,warm,unknown,unknown,none - felt by hand and seat,0,post_drive,"RPM sweep by feel - hold 650, 800, 900, 1000, 1200, 1500, 1800 rpm and rate the shake","Owner reported only ""worst idle at 650"". The assistant's follow-up question - whether it drops off sharply by 900 or tapers gradually and is still present at 1200-1500 - was never answered. The result argued against the half-order single-weak-cylinder signature (which predicted a worsening between 1000 and 1800) and against imbalance driving the cab directly.",[244];[245];[246];[247]
P3S-014,2026-09-05,04:28,04:31,12:37,13:47,P,idle,warm,unknown,unknown,LTFT - B1 + LTFT - B2; EVAP purge; Engine RPM,8,post_drive,The idle load cell read with adaptives fully relearned after a proper drive,"Both banks -0.78 flat, min = avg = max, identical, across three windows - the measurement the whole vacuum-leak investigation was built to obtain. EVAP purge on the new valve runs 47-49.8 percent actively stepping where the old one sat flat at 40-41. The hunt was unchanged or slightly wider: spans 56, 51, 57, 67, 61 rpm at the same 3.4 s rhythm - a clean separation showing the leak was never causing the hunt.",[250];[251];[252]
P3S-015,2026-09-05,unknown,unknown,n/a,n/a,n/a,n/a,unknown,unknown,unknown,Mode 06 on-board monitoring test results: per-cylinder misfire counts and 10-cycle averages; Catalyst Monitor Bank 1 and Bank 2; four oxygen sensor response times; oxygen sensor heater currents; VVT Monitor Bank 1 and Bank 2; fuel system monitor,16,post_drive,The last unread item in the ECU - read after the drive completed the monitors,"Everything passed with margin. Misfire counts 0/0/0/2/0/1 with the 10-cycle average zero on all six, which killed the single-weak-cylinder hypothesis. Catalysts 0.371 and 0.363 against a 0.836 limit - also killing the earlier bank 1 downstream asymmetry. Upstream O2 both 0.014 s against 0.4 s. VVT errors 0.06 and 0.05 deg against 20 deg. Assistant declared the ECU phase closed.",[253];[254];[255]
P3S-016,2026-09-05,unknown,unknown,37:00,37:15,P,idle,warm,unknown,unknown,Fuel/Air com. ratio + Engine RPM; Fuel/Air com. ratio + Tim. adv.; Engine RPM + Throttle Position Actually,7,post_drive,Re-test of the PCM-commands-the-oscillation theory after the valve change and the relearn,"The commanded ratio is still a two-level square wave, 14.42 to 14.86, period about 3.5 s - identical to the first night's 14.41 to 14.86 at 3.4 s. RPM peaks about 1-1.5 s after each rich command. Throttle Position Actually stayed min = avg = max flat, stepping 9.44 / 9.55 / 9.88 / 10.33 over tens of seconds. Assistant's conclusion: yes the ECU manipulates rpm, deliberately, and every aspect of how it does it looks normal.",[256];[257];[258];[259];[260]
P3S-017,2026-09-05,unknown,unknown,n/a,n/a,unknown,unknown,unknown,unknown,unknown,Acceleration Spectrum (phyphox accelerometer),1,post_drive,First attempt at measuring the vibration itself instead of a proxy,"Unusable. The horizontal axis spanned 0-210 Hz so the 5-33 Hz region of interest was compressed into the left edge. rpm at the time, phone placement, whether the engine was running, and an engine-off noise-floor recording were all missing. Assistant asked for a zoom to 0-50 Hz and a repeat.",[261];[262];[263];[264]
