obs_id,session_date,phone_clock,gear,load,thermal,observation,category,epoch,source
P1O-0001,2026-09-02,unknown,unknown,idle,unknown,"The truck has never been smooth in the owner's entire ownership - the vibration is a characteristic, not a change that appeared on a date.",history,pre_purge_valve,[36]
P1O-0002,2026-09-02,unknown,unknown,idle,unknown,The shake is identical cold and hot - temperature independent. Assistant used this to rule out closed-loop-only mixture faults and warm-up enrichment.,symptom,pre_purge_valve,[8];[9];[24]
P1O-0003,2026-09-02,unknown,P,idle,warm,No change in the shake or in idle rpm with the A/C switched on.,symptom,pre_purge_valve,[8];[9]
P1O-0004,2026-09-02,unknown,P,idle,warm,"The shake reproduces standing still in Park - no road speed, no driveline motion needed.",symptom,pre_purge_valve,[8]
P1O-0005,2026-09-02,unknown,P,idle,unknown,"The tachometer needle visibly wanders/moves at a held throttle. Assistant treated this as decisive against pure mechanical imbalance, since nothing rotating moves a tach needle.",symptom,pre_purge_valve,[9]
P1O-0006,2026-09-02,unknown,P,rpm_sweep,unknown,"The shake is equal at every rpm when swept in Park. Assistant later reframed this in [10]: the whole sweep was at zero load, so it showed rpm-independence only, not load-independence.",symptom,pre_purge_valve,[9];[10]
P1O-0007,2026-09-02,unknown,unknown,idle,unknown,"Idle rpm is normal - no sag, nothing stalls or nearly stalls.",symptom,pre_purge_valve,[9];[36]
P1O-0008,2026-09-02,unknown,unknown,unknown,unknown,"The vibration was present before any of the repair work was done, so nothing that has been replaced can be its cause.",history,pre_purge_valve,[9];[19]
P1O-0009,2026-09-02,unknown,P,idle,warm,"Load curve as the owner reports it: worst in Park/Neutral at standstill, less in Drive/Reverse at standstill, completely absent driving under load.",symptom,pre_purge_valve,[10]
P1O-0010,2026-09-02,unknown,driving,cruise,warm,The truck pulls great under load with zero vibration - flawless once the throttle is open.,symptom,pre_purge_valve,[10]
P1O-0011,2026-09-02,unknown,D,idle,unknown,"Second-hand from the owner's brother: it also shakes in D and R, but 'in a different pattern'. Owner flagged it as felt once or twice; assistant declined to re-theorise on it and left the pattern question open.",symptom,pre_purge_valve,[11];[13]
P1O-0012,2026-09-02,unknown,D,idle,unknown,"D and R feel the same as each other. Assistant treats this as the better mount test - engine torque reacts in opposite directions in D and R, so a collapsed mount or torque-reaction contact would differ between them.",symptom,pre_purge_valve,[13]
P1O-0013,2026-09-02,unknown,D,idle,unknown,"The needle wanders in gear too, not only in Park.",symptom,pre_purge_valve,[13]
P1O-0014,2026-09-02,unknown,unknown,idle,unknown,"Repo-carried claim referenced by the assistant: a separate 1,000-2,000 rpm instability. Not confirmed by the owner anywhere in this part of the conversation; assistant suggested 6R80 torque converter shudder as a separate matter.",symptom,pre_purge_valve,[5]
P1O-0015,2026-09-02,unknown,P,idle,warm,KEY CORRECTION FROM THE OWNER: 'in my case the engine doesn't shake like it wants to switch off - it's a shake that I just feel its vibration and see the rpm move. If you listen from the hood it's very difficult to know if the car has a problem.' This reframed the whole diagnosis and prompted the assistant to raise 'you may not have a fault at all'.,symptom,pre_purge_valve,[35]
P1O-0016,2026-09-02,unknown,unknown,idle,unknown,From under the hood a trained ear cannot tell the engine has a problem - the idle is not audibly lumpy or loping.,symptom,pre_purge_valve,[35];[36]
P1O-0017,2026-09-02,unknown,n/a,n/a,n/a,"Factory airbox and duct, no oiled aftermarket filter - MAF calibration is as Ford intended.",vehicle_fact,pre_purge_valve,[18];[19]
P1O-0018,2026-09-02,unknown,n/a,n/a,n/a,"The intake manifold was removed and refitted during the injector clean, with exactly zero change to the symptom.",history,pre_purge_valve,[18];[19]
P1O-0019,2026-09-02,unknown,n/a,n/a,n/a,The EGR (later found not to exist on this engine) and the PCV have never been looked at in twelve years.,history,pre_purge_valve,[18];[19]
P1O-0020,2026-09-02,unknown,n/a,n/a,n/a,Always 95 octane from the same station; symptom utterly constant.,vehicle_fact,pre_purge_valve,[19]
P1O-0021,2026-09-02,unknown,n/a,n/a,n/a,"No aftermarket PCM tune, no tuner ever used, no evidence of prior engine work.",vehicle_fact,pre_purge_valve,[19]
P1O-0022,2026-09-02,unknown,n/a,n/a,n/a,"An idle relearn was performed and 300 km driven since, so adaptive memory is mature.",history,pre_purge_valve,[19]
P1O-0023,2026-09-02,unknown,n/a,n/a,n/a,"No dealer service record at all for approximately the last 76,500 km.",history,pre_purge_valve,[22]
P1O-0024,2026-09-02,unknown,unknown,idle,warm,Thermostat reaches temperature and holds it.,vehicle_fact,pre_purge_valve,[24]
P1O-0025,2026-09-02,unknown,n/a,n/a,n/a,Engine currently running 5W-30 where the spec is 5W-20.,vehicle_fact,pre_purge_valve,[24]
P1O-0026,2026-09-02,unknown,n/a,n/a,n/a,Coolant level steady - has never lost coolant with no visible leak.,vehicle_fact,pre_purge_valve,[24]
P1O-0027,2026-09-02,unknown,n/a,n/a,n/a,"OWNER CORRECTION OF METHOD: 'you didn't ask all questions, you have a list like throttle body' - the assistant had been filling maintenance answers from repo notes and assumptions instead of asking.",method_correction,pre_purge_valve,[25];[26]
P1O-0028,2026-09-02,unknown,n/a,n/a,n/a,OWNER CORRECTION OF FACT: the throttle body HAS been cleaned. CLAUDE.md stated it had never been cleaned and called it the top unexplored lead - a factual error at the top of the notes steering the diagnosis.,method_correction,pre_purge_valve,[27]
P1O-0029,2026-09-02,unknown,n/a,n/a,n/a,"Throttle body was removed from the engine and hand-cleaned, followed by a 250 km drive-cycle relearn. No change at all to the symptom.",history,pre_purge_valve,[27];[28]
P1O-0030,2026-09-02,unknown,n/a,n/a,n/a,"Injectors were removed, cleaned and flow-tested. No change to the symptom.",history,pre_purge_valve,[27];[28]
P1O-0031,2026-09-02,unknown,n/a,n/a,n/a,The EVAP purge valve has never been touched or inspected.,history,pre_purge_valve,[27];[28]
P1O-0032,2026-09-02,unknown,n/a,n/a,n/a,The O2 sensors were 'cleaned' by an unknown method - nobody knows what was done to them.,history,pre_purge_valve,[28];[19]
P1O-0033,2026-09-03,unknown,n/a,n/a,n/a,"Owner relays a forum-derived test plan and asks whether to send it to the mechanic: disconnect the air/vacuum lines and plug their ports and test - the one going to the brake booster, the one going to the canister, and anything coming from the A/C - plus a smoke test for leaks in the air lines. (conversation timestamp 10:02 UTC; not a screenshot phone clock)",method_correction,pre_purge_valve,[43]
P1O-0034,2026-09-04,unknown,n/a,n/a,n/a,"CONSTRAINT SET BY OWNER: all tests are conducted in a safe environment by a professional, so procedures must not be watered down or bypassed for safety - if a test requires disconnecting the brake vacuum hose, it stays in. (conversation timestamp 14:25 UTC; not a screenshot phone clock)",constraint,pre_purge_valve,[50]
P1O-0035,2026-09-04,unknown,n/a,n/a,n/a,OWNER CORRECTION OF METHOD: the vacuum lines on this engine are hard plastic and cannot be clamped or pinched. The only way to isolate one is to disconnect the line and plug the inlet. This invalidated every clamp-based test the assistant had written. (conversation timestamp 14:51 UTC; not a screenshot phone clock),method_correction,pre_purge_valve,[64];[65];[69]
P1O-0036,2026-09-04,unknown,n/a,n/a,n/a,"OWNER CORRECTION OF METHOD: you cannot disconnect a vacuum line with the engine running - it will stall. Every isolation test must be engine off, disconnect, plug the manifold port, then restart. (conversation timestamp 14:51 UTC; not a screenshot phone clock)",method_correction,pre_purge_valve,[64];[65];[69]
P1O-0037,2026-09-04,unknown,n/a,n/a,n/a,"OWNER VEHICLE FACT: there are three vacuum lines - PCV, purge and brake booster. (conversation timestamp 14:51 UTC; not a screenshot phone clock)",vehicle_fact,pre_purge_valve,[64]
P1O-0038,2026-09-04,unknown,n/a,n/a,n/a,"OWNER DIRECTION: gather all information on the Ford 3.7 V6 regardless of whether it comes from an F-150 or a Mustang source, because it is the same engine. Assistant adopted this and recorded what transfers (phasers, chain, water pump, PCV, purge valve, fuel trim behaviour) and what does not (mounts, driveline, exhaust, cab, NVH, routing). (conversation timestamp 14:51 UTC; not a screenshot phone clock)",method_correction,pre_purge_valve,[64];[69]
P2O-0001,2026-09-04,unknown,n/a,n/a,unknown,"No airbag warning light is on, and the multi-module scan was complete (all modules read).",vehicle_fact,pre_purge_valve,[103]
P2O-0002,2026-09-04,unknown,unknown,unknown,unknown,"The scan app lets the owner open each parameter and see a live data graph, not just a number.",constraint,pre_purge_valve,[105]
P2O-0003,2026-09-04,unknown,unknown,idle,warm,The six rpm traces just sent were recorded with the A/C ON.,method_correction,pre_purge_valve,[111]
P2O-0004,2026-09-04,unknown,n/a,n/a,unknown,"The A/C cools properly, so the compressor is doing real work.",vehicle_fact,pre_purge_valve,[113]
P2O-0005,2026-09-04,unknown,unknown,idle,warm,The shake feels identical with the A/C on and off.,symptom,pre_purge_valve,[112];[114]
P2O-0006,2026-09-04,unknown,unknown,unknown,unknown,The graph data is not 15 minutes long - use the mobile clock at top left to measure time.,method_correction,pre_purge_valve,[115]
P2O-0007,2026-09-04,unknown,unknown,idle,warm,This set of traces was recorded with the A/C off.,vehicle_fact,pre_purge_valve,[115]
P2O-0008,2026-09-04,unknown,unknown,idle,warm,The tachometer needle can be seen to breathe - the oscillation is on a timescale of seconds.,symptom,pre_purge_valve,[117]
P2O-0009,2026-09-04,unknown,unknown,idle,warm,"Wants to do every test that can be done now while the engine is warm, and to be told what to share or test.",constraint,pre_purge_valve,[119]
P2O-0010,2026-09-04,unknown,unknown,unknown,unknown,Did not understand which sensors were wanted - asks for the exact names from the shared screenshot of all sensors.,constraint,pre_purge_valve,[121]
P2O-0011,2026-09-04,unknown,unknown,unknown,unknown,The app cannot show all four sensors at once; channels can only be navigated one by one.,constraint,pre_purge_valve,[123]
P2O-0012,2026-09-04,unknown,unknown,idle,warm,The graph gridlines ('laps') are 5 seconds apart; use the mobile clock to record readings.,method_correction,pre_purge_valve,[125]
P2O-0013,2026-09-04,unknown,unknown,idle,warm,"Asked whether the assistant had seen the purge value jump to 47 - it had not; the 47:15/47:20/47:25 figures were the mm:ss time axis, and the purge maximum was 40.78 on every graph.",method_correction,pre_purge_valve,[130];[131];[133]
P2O-0014,2026-09-04,unknown,unknown,unknown,unknown,"Do not use the app's Min/Max/Average fields - read the chart itself and analyse it deeply, never rely on the chart summary figures.",method_correction,pre_purge_valve,[135]
P2O-0015,2026-09-04,unknown,unknown,unknown,unknown,"Performed an idle relearn and drove 300 km BEFORE the battery wipe, and it did not solve the shake.",history,pre_purge_valve,[142]
P2O-0016,2026-09-04,unknown,unknown,unknown,unknown,"Does not want to stop - wants the issue found, and asks whether more screenshots are needed.",constraint,pre_purge_valve,[142]
P2O-0017,2026-09-04,unknown,unknown,unknown,unknown,Everything is important and should be documented - the assistant should not hold back on what to ask for.,constraint,pre_purge_valve,[147]
P2O-0018,2026-09-04,unknown,unknown,unknown,unknown,"Is out at the car diagnosing; when he sends one capture it does not mean he will not send the others, so everything related should be asked for in order.",constraint,pre_purge_valve,[150]
P2O-0019,2026-09-04,unknown,unknown,unknown,unknown,Anything that requires a multimeter should be saved for the next day.,constraint,pre_purge_valve,[162]
P2O-0020,2026-09-04,unknown,unknown,idle,warm,Wants to finish all the idle readings and tests before doing any cruising tests.,constraint,pre_purge_valve,[168]
P2O-0021,2026-09-04,unknown,unknown,unknown,unknown,"Phone battery is low (19 % at [167], 18 % at [169], 14 % at [171]) but the assistant should not rush - everything should still be done.",constraint,pre_purge_valve,[167];[169];[171];[172]
P2O-0022,2026-09-04,unknown,unknown,unknown,unknown,The scan app is not fixed to Engine RPM as the first channel - both graph channels can be chosen freely.,vehicle_fact,pre_purge_valve,[176]
P2O-0023,2026-09-04,unknown,unknown,unknown,unknown,The repo should always be updated as findings come in.,constraint,pre_purge_valve,[178]
P3O-001,2026-09-04,unknown,n/a,n/a,unknown,"""don't given me wired terms use what i see infront of me based on this"" - the owner requires channel names exactly as they appear on his phone, not engineering terms",constraint,pre_purge_valve,[182]
P3O-002,2026-09-04,10:26-10:33,n/a,n/a,unknown,"""this is old screenshot always read phone clock"" - the screenshots the assistant was reasoning from were from an earlier session hours before, so they could not be compared with the later graphs",method_correction,pre_purge_valve,[185]
P3O-003,2026-09-04,unknown,n/a,n/a,unknown,"""i shared this just to ask you to save the name of sensors / when request a sensor readings you should use its name in the scanner"" - request that led to docs/scanner-pids.md",constraint,pre_purge_valve,[188]
P3O-004,2026-09-04,unknown,n/a,n/a,unknown,"""this is new readings / I'm now confused what should i provide next / follow all the diagnoses finding and work deep""",constraint,pre_purge_valve,[191]
P3O-005,2026-09-04,01:13,unknown,idle,warm,"""this is while idle next I'll do the 2000"" - states the condition of the capture and the plan",vehicle_fact,pre_purge_valve,[195]
P3O-006,2026-09-04,unknown,n/a,n/a,unknown,"""never look to my battery it's not your concern / focus on finding my truck issue"" - explicit instruction to drop the charging-system line of enquiry",constraint,pre_purge_valve,[195]
P3O-007,2026-09-04,unknown,P,idle then 2000rpm then idle,warm,"""started from idle , done 2000 rpm then back to idle"" - the sequence of the 2000 rpm capture",vehicle_fact,pre_purge_valve,[198]
P3O-008,2026-09-04,unknown,P,2000rpm,warm,"""it was difficult to maintain 2000 rpm because something is manipulation the rpm and changing it up and down"" - the engine would not hold a steady 2000 rpm under a steady foot",symptom,pre_purge_valve,[201]
P3O-009,2026-09-04,unknown,n/a,key_on_engine_off,unknown,"""purge is mounted on intake should i remove it"" - establishes the purge valve is mounted directly on the intake manifold on this truck",vehicle_fact,pre_purge_valve,[204]
P3O-010,2026-09-05,unknown,"P,N,D,R",idle,warm,"""i replaced purge valve with new one and i noticed that in D and R the chake disabear but still in p and N"" - the first change in the symptom in the owner's entire ownership",symptom_change,post_purge_valve_pre_drive,[206]
P3O-011,2026-09-05,unknown,n/a,n/a,unknown,"""don't expect I'm lazy i want to do everything needed"" - the owner will run the full protocol; do not trim tests for effort",constraint,post_purge_valve_pre_drive,[209]
P3O-012,2026-09-05,unknown,P,idle,warm,"""In P"" - condition label for the post-valve trim capture",vehicle_fact,post_purge_valve_pre_drive,[212]
P3O-013,2026-09-05,unknown,D,idle,warm,"""in D"" - condition label for the post-valve trim capture in Drive",vehicle_fact,post_purge_valve_pre_drive,[214]
P3O-014,2026-09-05,unknown,n/a,key_on_engine_off,unknown,"""yes i disconnected the negative terminal and connect the negative with positive with a small wire but i don't know it it clean it or not"" - a full Keep Alive Memory wipe was performed at the same time as the purge valve change",history,post_purge_valve_pre_drive,[216]
P3O-015,2026-09-05,unknown,D,idle,warm,"""this in D"" - condition label for the Engine RPM plus Tim. adv. capture",vehicle_fact,post_purge_valve_pre_drive,[219]
P3O-016,2026-09-05,03:23,P,idle,warm,"""this in p"" - condition label for the Engine RPM plus Tim. adv. capture",vehicle_fact,post_purge_valve_pre_drive,[221]
P3O-017,2026-09-05,unknown,"P,N",idle,warm,"""it's not normal the chaking is chaking my but on the seat"" - the shake physically moves the owner in the seat. This overturned the assistant's conclusion that the 25 rpm hunt and the felt shake were one phenomenon, and reopened engine mounts and a contact point",symptom,post_purge_valve_pre_drive,[224]
P3O-018,2026-09-05,unknown,n/a,n/a,unknown,"""find the issue from ecu"" - directive to exhaust the ECU before hands-on tests",constraint,post_purge_valve_pre_drive,[227]
P3O-019,2026-09-05,unknown,n/a,n/a,unknown,"""i want all test that can be performed while driving and moving to find the issue"" - request that produced docs/DRIVING-TESTS.md",constraint,post_purge_valve_pre_drive,[229]
P3O-020,2026-09-05,unknown,driving,coast,warm,"""this is from 100 to 30"" - the deceleration fuel cut coast was run from about 100 km/h down to 30",vehicle_fact,post_drive,[232]
P3O-021,2026-09-05,unknown,n/a,n/a,unknown,"""give me sensor name i don't know what is uper bank"" - upstream/downstream terminology is not usable; the owner needs the literal app label",constraint,post_drive,[235]
