event_id,event_date,phone_clock,event,category,effect_on_data,source
P0E-0012,unknown,unknown,Graph screen width established at about 15 seconds by timing the trace against the phone clock.,measurement_milestone,Fixes the time axis for every graph in the dataset. An earlier assumption of a 15-minute screen was wrong by a factor of 60 and had put the idle oscillation period in the wrong regime entirely.,owner_answers round 14; near [116]
P1E-0001,unknown,unknown,Truck purchased; the idle vibration was already present at purchase and has never been absent.,prior_history,Establishes that no subsequent repair can be the cause of the original symptom.,[9];[19];[36]
P1E-0002,unknown,unknown,Spark plugs replaced.,repair,No change to the symptom.,[19];[36]
P1E-0003,unknown,unknown,Air filter replaced.,repair,No change to the symptom.,[36]
P1E-0004,unknown,unknown,Oil and filter changed (currently 5W-30 in the sump against a 5W-20 spec).,repair,No change to the symptom.,[24];[36]
P1E-0005,unknown,unknown,Coolant flush.,repair,No change to the symptom.,[36]
P1E-0006,unknown,unknown,"6R80 transmission fluid changed at 113,000 km. Whether it was a pan drop or a full exchange was raised as unknown.",repair,No change to the idle symptom; relevant only to the separate torque-converter-shudder question.,[5]
P1E-0007,unknown,unknown,"Throttle body removed from the engine and hand-cleaned, then a 250 km drive-cycle relearn.",repair,"No change at all - assistant treats this as a properly conducted test with a negative result, eliminating the throttle body.",[27];[28]
P1E-0008,unknown,unknown,"Injectors removed, cleaned and flow-tested; the intake manifold came off and went back on for this job.",repair,"No change - injectors eliminated; also mild evidence the fault is not at the manifold face, since the manifold was disturbed and refitted with zero change.",[18];[27];[28]
P1E-0009,unknown,unknown,O2 sensors 'cleaned' by an unknown method.,repair,"No change to the symptom. Leaves an open, unresolved question about whether the sensors were damaged by the cleaning; upstream switching rate never read.",[19];[28]
P1E-0010,unknown,unknown,Battery disconnected once; idle/adaptive relearn performed and roughly 300 km driven afterwards.,reset,"Wiped stored and pending DTCs, so 'no codes ever' rests only on the MIL never lighting. Also makes the adaptives mature at the time of this conversation. Permanent codes (Mode 0A) would have survived and were never read.",[19];[22];[28]
P1E-0011,unknown,unknown,"No dealer service record exists for approximately the last 76,500 km.",prior_history,Maintenance history for that span is owner-reported only.,[22]
P1E-0012,2026-09-02,unknown,"Diagnostic conversation begins. No scan tool has ever been connected; no fuel trims, no live data, no DTC read, no misfire counters exist at this point. (conversation timestamp 19:44 UTC; not a screenshot phone clock)",measurement_milestone,Everything in this part of the conversation is reasoning from owner reports and blocked search summaries - there is zero instrument data.,[1];[2];[10]
P1E-0013,2026-09-02,unknown,"CLAUDE.md and docs/f150-diagnosis.md corrected and pushed: throttle-body-never-cleaned claim removed, the EGR-position data request removed (the 3.7 has no external EGR valve), and the torque-converter-damping reasoning replaced with the load table. (conversation timestamp 21:56 UTC; not a screenshot phone clock)",measurement_milestone,Three errors that were steering the diagnosis were removed from the project record.,[39];[42]
P1E-0014,2026-09-04,unknown,"f150diag tool built and pushed - generic OBD services 01/03/06/07/09/0A, protocols triage, idle-quality and o2-health, rpm periodicity detection gated at 30 rpm peak-to-peak, and trim-vs-rpm cross-correlation. (conversation timestamp 14:41 UTC; not a screenshot phone clock)",measurement_milestone,First capability in the project to log rpm and compute whether the idle wander is scatter or a hunt. DID_REGISTRY ships empty by design.,[50];[57]
P1E-0015,2026-09-04,unknown,"Isolation procedures rewritten around engine off - disconnect - plug the manifold port - restart - settle 30 s - measure, after the owner's hard-plastic-line and stall corrections. Baseline measurement changed to be taken the same way. (conversation timestamp 14:55 UTC; not a screenshot phone clock)",measurement_milestone,All four measurements in the vacuum-isolation sequence are now taken under identical conditions; previously the baseline was a long-settled idle and would not have been comparable.,[64];[69]
P1E-0016,2026-09-04,unknown,"FORScan CSV import command added; then the FORScan handoff step (release the port, launch FORScan, watch for the export, import, reconnect) built into the protocol graph. (conversation timestamp 15:15 UTC; not a screenshot phone clock)",measurement_milestone,Makes Ford enhanced data (VCT commanded vs actual) reachable as a protocol step. Column mapping is marked [VERIFY] and unconfirmed against this truck.,[73];[80]
P1E-0017,2026-09-04,unknown,"quick-wins protocol added - PCV valve shake test, purge valve vacuum-hold test, and reading the PCM calibration IDs for the dealer question. (conversation timestamp 15:49 UTC; not a screenshot phone clock)",measurement_milestone,Ten minutes of engine-off physical checks aimed at the two components never touched in twelve years.,[83];[85]
P2E-0001,unknown,unknown,Battery disconnected and DTCs cleared at some earlier date (before this session). Assistant infers the four inactive U/B codes are the signature of that voltage event.,prior_history,"Wiped keep-alive memory, so long term fuel trims and idle adaptives read 0 % and the readiness monitors were incomplete. Only 101 km and 3 warm-ups had accumulated since.",[102];[104];[107];[140]
P2E-0002,unknown,unknown,Owner performed an idle relearn and drove 300 km BEFORE that wipe - the shake did not change.,prior_history,Kills the 'young adaptives are causing the hunt' hypothesis; a reset plus relearn has already been tried and failed.,[142]
P2E-0003,unknown,unknown,"Six earlier repairs (spark plugs, air filter, oil and filter, coolant flush, 6R80 fluid, throttle body removed and hand-cleaned, injectors removed cleaned and flow-tested, O2 sensors 'cleaned' by an unknown method) - none changed the symptom.",prior_history,Establishes the baseline that the symptom is unchanged by any prior work. The O2 'cleaning' by unknown method is the item repeatedly reopened during this session.,[173]
P2E-0004,2026-09-04,unknown,Complete multi-module DTC scan read and photographed.,measurement_milestone,First real vehicle data in the project. Zero P-codes; four inactive network/restraint codes. Corrected the repo's loose claim of 'no codes in years'.,[101];[102];[104]
P2E-0005,2026-09-04,unknown,Full live-data value list captured at warm idle (~11 screenshots).,measurement_milestone,"Produced the first fuel trim, lambda, purge, ethanol, MAF and voltage numbers. Also broke the idle-quality protocol's assumption that sealing the purge port changes nothing on a healthy engine (commanded purge was 41 %).",[105];[107]
P2E-0006,2026-09-04,unknown,First rpm stability graphs captured - later revealed to have been recorded with the A/C ON.,measurement_milestone,Invalidated as a bare-idle baseline. The assistant's attribution of the cycle to fan/purge/alternator was withdrawn once the A/C was disclosed.,[108];[109];[111];[112]
P2E-0007,2026-09-04,unknown,"Graph timebase reinterpreted after the owner said the traces were not 15 minutes long: screen ~15 s, gridlines 5 s.",measurement_milestone,Reversed the 'idle control is working correctly' verdict. The repeating pattern became a 2.5-4 s rhythmic idle hunt - the fourth of four 'no fault' pillars fell.,[115];[116];[117];[118]
P2E-0008,2026-09-04,unknown,Owner confirmed the graph gridlines are 5 seconds.,measurement_milestone,Fixed the timebase for every paired capture that followed.,[125]
P2E-0009,2026-09-04,unknown,Owner instructed that the app's Min/Max/Average fields must not be used - read the plotted curve instead.,measurement_milestone,"All Min/Avg/Max-derived figures became inadmissible. Proof: Min 617 / Max 703 were identical on every screenshot while Avg only crept 652.75 -> 652.66, i.e. session-cumulative.",[135];[136]
P2E-0010,2026-09-04,unknown,"Series of paired graph captures at warm idle: STFT B1, commanded purge, throttle actual, timing advance, cam advance, MAF, commanded throttle actuator, calculated load, lambda/AFR, ECU voltage, commanded fuel/air ratio, O2S2 B1, O2S2 B2, O2S1, O2S5, STFT B2.",measurement_milestone,"The core dataset of this part. Established that every PCM output is static except spark and the commanded fuel/air ratio, and produced the downstream O2 bank asymmetry and the bank 2 trim offset.",[125];[127];[137];[139];[144];[150];[152];[154];[156];[160];[162];[164];[166];[168];[170];[178]
P2E-0011,2026-09-04,unknown,Engine idled continuously for roughly an hour or more during the capture series.,measurement_milestone,"Catalyst temperature fell to 458 C; prolonged idle reduces catalyst oxygen storage, which the assistant flagged as possibly exaggerating the downstream O2 swing. Also raised the possibility the battery was being drained if the alternator was not charging.",[165];[167]
P2E-0012,2026-09-04,unknown,"Multimeter tests (DC charging volts, AC ripple, three ground drops, wiggle test) deferred by the owner to the following day.",measurement_milestone,The 12.62 V ECU voltage reading remained unexplained at the end of this part.,[162];[163];[167]
P2E-0013,2026-09-04,unknown,Graph axis width settled beyond doubt by two independent clocks: graph clock 21:20-23:55 against phone clock 12:48-12:51.,measurement_milestone,"Confirms MM:SS axis, 5 s gridlines, ~15 s screen. Retires the timebase question for all earlier captures.",[179]
P2E-0014,2026-09-04,unknown,"Repo housekeeping: feature branch claude/ready-girabz merged to main, local branch deleted, remote deletion blocked by HTTP 403.",measurement_milestone,No effect on vehicle data. Recorded because it explains why files moved between branches mid-session.,[92];[95];[97];[99];[100]
P3E-001,2026-09-04,10:26-10:33,"Value-read session shared to capture exact scanner sensor labels; monitor block read showing Fuel System, Catalyst and Oxygen Sensor Not completed",measurement_milestone,Cancelled the planned Mode 06 read - nothing stored to read until a drive completes those monitors. Also produced docs/scanner-pids.md and the standing rule to request channels by their exact app label,[183];[187];[190]
P3E-002,2026-09-04,unknown,Rule established: read the phone clock on every screenshot and never set a reading from one session against a reading from another,measurement_milestone,Invalidated the assistant's attempt to use the 10:26-10:33 value reads to contradict the 12:48-12:51 graphs,[185];[186];[187]
P3E-003,2026-09-04,01:00,Long term fuel trims read as learned for the first time after 3:06:10 of run time (+3.13 B1 / +2.34 B2),measurement_milestone,"Removed the 'probably un-relearned' caveat that had qualified every earlier trim number, and killed the bank-asymmetry theory",[192];[194]
P3E-004,2026-09-04,01:13,"Rule established: total fuel correction = short term + long term, so both halves of the same bank must be captured together",measurement_milestone,Made every single-trim reading in the project uninterpretable on its own,[196]
P3E-005,2026-09-04,unknown,The 2000 rpm load test run for the first time (idle to 2000 to idle) with STFT B1 paired against LTFT - B2,measurement_milestone,"Produced the load-cell finding: +2.34 at idle, 0 at 2000, returning instantly to exactly 2.34 - read as a fixed vacuum leak",[198];[199]
P3E-006,2026-09-04,unknown,"The 2000 rpm test repeated with both banks' long term trim on one screen, held 2 min 7 s",measurement_milestone,"Confirmed both banks and revealed the correction is a gradient (idle +3.13/+2.34, just off idle +0.78, 2000 rpm 0) rather than a step",[201];[202]
P3E-007,2026-09-05,unknown,EVAP purge valve replaced with a new one,repair,The first repair in the owner's ownership to change the symptom - the shake disappeared in D and R and remained in P and N. Also invalidated every long term trim value learned around the old valve,[206];[207]
P3E-008,2026-09-05,unknown,Battery negative terminal disconnected and bridged to the positive post to drain capacitance - a full Keep Alive Memory wipe - performed at the same time as the purge valve change,reset,"Erased learned long term trims (so the post-repair 0 percent readings are defaults, not learned zeros), the load-cell slope, the archived DTCs U0422 / U0140 / B11D8, the monitor results, freeze frame, and Mode 06. Short term trim survives because it does not depend on learning. Also created a two-variable confound with the valve replacement",[216];[217];[218]
P3E-009,2026-09-05,unknown,Standing rule adopted: never wipe KAM before a measurement unless the wipe is the experiment,measurement_milestone,Recorded in the repo to prevent a repeat,[217];[218]
P3E-010,2026-09-05,unknown,"First Park versus Drive comparison of Engine RPM and Tim. adv. captured in one session, minutes apart",measurement_milestone,Gave the first clean within-vehicle control: Park 44-55 rpm spans at a 3.4 s rhythm against Drive 13-18 rpm with no rhythm,[219];[220];[221];[222]
P3E-011,2026-09-05,unknown,Conclusion 'the hunt and the shake are one phenomenon' withdrawn after the owner said the shake moves him in the seat,measurement_milestone,"Reopened engine mounts (the D-versus-R argument only ruled out torque-reaction faults, not a mount that has lost its damping) and raised a contact point against the frame or cab as a new candidate",[224];[225];[226]
P3E-012,2026-09-05,unknown,"The relearning drive: 20-30 minutes mixed driving including steady cruise, deceleration fuel cut coasts on both banks, and wide open throttle pulls to 6832 rpm",drive,"Relearned the adaptives, ran the catalyst and oxygen sensor monitors, and refilled Mode 06. Also produced the fuel cut and WOT eliminations",[232];[233];[237];[238];[240];[241]
P3E-013,2026-09-05,unknown,Rev limiter reached at 6832 rpm during the WOT pulls,drive,"Offered as the likely explanation for the 2 and 1 raw misfire counts on cylinders 4 and 6 - the limiter cuts fuel and spark, which the misfire monitor can log",[241];[254]
P3E-014,2026-09-05,unknown,The neutral coast test withdrawn as unworkable on the owner's two objections,measurement_milestone,"Removed the only test designed to separate the vibration source from its transmission path; replaced with the stationary rpm sweep, the electrical load test and the touch test",[243];[244];[245]
P3E-015,2026-09-05,unknown,RPM sweep in Park performed by feel (650 through 1800 rpm),measurement_milestone,Result 'worst idle at 650' argued against the half-order single-weak-cylinder signature and pointed at first order at 10.8 Hz sitting in the 8-15 Hz mount rock band. The follow-up clarification (sharp drop versus gradual taper) was never answered,[246];[247]
P3E-016,2026-09-05,04:28,Long term trims re-read at warm idle in Park with adaptives fully relearned: -0.78 both banks,measurement_milestone,"Closed the unmetered-air line - PCV, brake booster, manifold gasket, throttle body gasket, injector O-rings and the smoke test all withdrawn. The hunt was unchanged in the same capture, separating the leak from the hunt",[250];[251];[252];[266]
P3E-017,2026-09-05,unknown,Mode 06 on-board monitoring test results read for the first time on this truck,measurement_milestone,"Closed the ECU phase - per-cylinder misfire, both catalysts, all four O2 sensors, VVT and fuel system monitors all passed with margin. Killed the single-weak-cylinder hypothesis and the bank 1 downstream catalyst asymmetry",[253];[254];[255]
P3E-018,2026-09-05,unknown,"Fuel/Air com. ratio re-captured after the valve change and relearn, confirming the commanded square wave is unchanged (14.42 to 14.86 at about 3.5 s)",measurement_milestone,"Confirmed the PCM deliberately manipulates rpm, and that Mode 06's healthy sensors and catalysts make the slow 3.5 s period the expected behaviour rather than a fault",[256];[258];[259];[260]
P3E-019,2026-09-05,unknown,First phone accelerometer spectrum recorded with phyphox,measurement_milestone,"Unusable - axis spanned 0-210 Hz and the metadata (rpm, placement, engine state, noise floor) was not recorded. The measurement of the actual complaint remains outstanding",[261];[262];[263];[264]
P3E-020,2026-09-04,unknown,Prior history restated: an adaptive relearn plus 300 km had already been done before this repair and changed nothing,prior_history,"Used as the argument that the KAM wipe alone cannot explain the D/R improvement, pointing at the valve instead",[217]
P3E-021,2026-09-05,unknown,Evaporative System monitor still reads Not completed after the drive,measurement_milestone,"The only incomplete monitor; it checks the tank and canister for vapour leaks and sits behind a closed purge valve, so it cannot affect how the engine idles",[266]
