elim_id,item,verdict,evidence,confidence,date,epoch,source
E-040,Bank-specific vacuum leak feeding one bank,eliminated,"Proposed to explain a claimed bank 2 STFT offset of +3.5 percent. Killed when long term trim learned to +3.13 (B1) and +2.34 (B2) - one quantisation step apart, the smallest difference the PID can express.",measured,2026-09-05,pre_purge_valve,docs/f150-diagnosis.md 'Session 01:00-01:01'; CLAUDE.md; [194]
E-041,Exhaust leak upstream of the bank 2 oxygen sensor,eliminated,"Same evidence: two long term trims within one LSB of each other. The mechanism (low pulsating idle exhaust flow drawing fresh air in through a small leak, lean at idle and normal under load, no code) fitted the load curve but had no bank difference left to explain.",measured,2026-09-05,pre_purge_valve,docs/f150-diagnosis.md 'Session 01:00-01:01'; CLAUDE.md
E-042,Bank 2 upstream oxygen sensor bias,eliminated,"Same evidence, plus the fuel cut test showing bank 2's upstream sensor sweeping 12.33 to 29.38 fast in both directions and Mode 06 giving 0.014 s response against a 0.4 s limit, identical to bank 1.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'Session 01:00-01:01'; 'Bank 2 - same result'; [194];[238];[254]
E-043,"Leaking injector, bank 1",eliminated,"Deceleration fuel cut: O2S1 air:fuel pegs at 29.38 (top of the PID range) the instant the throttle closes and holds min = avg = max across three consecutive windows from ~1850 rpm to ~850 rpm. Any seepage would put fuel in the air passing through and the reading could not peg. Measured on the engine, in place, under real manifold vacuum.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'DECELERATION FUEL CUT'; [233]
E-044,"Leaking injector, bank 2",eliminated,"Same test, same result: O2S5 air:fuel pegged at 29.38 flat, min = avg = max across two windows while rpm fell 1772 to 1381.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'Bank 2 - same result'; [238]
E-045,Fuel arriving from any other source during overrun,eliminated,"Purge is normally commanded shut during fuel cut, and nothing shows in the trace regardless.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What this eliminates'
E-046,Bank 1 upstream oxygen sensor - 'cleaned by unknown method' concern,eliminated,"Moved 13.49 to 29.38 in a fraction of a second, held perfectly flat for a minute, repeated it. A lazy or contaminated sensor cannot do that. Confirmed by Mode 06 at 0.014 s response against a 0.4 s limit.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'It is also the best oxygen sensor test'; [233];[254]
E-047,All four oxygen sensors,eliminated,"Mode 06: upstream B1 and B2 both 0.014 s against a 0.4 s limit (3.5 percent of allowance, identical); downstream 0.792 s and 0.856 s against 10 s; heater currents matched at 2550/2455 mA upstream and 637/652 mA downstream. All PASSED.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'All four oxygen sensors - healthy and matched'; [254]
E-048,Fuel delivery under load,eliminated,"The PCM commanded roughly 12.3:1 at wide throttle and the system delivered it, exercising pump, regulator and injectors at high demand.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What is now closed'; [241]
E-049,Fuel trims / mixture error as the cause,cleared,Idle long term trim -0.78 percent both banks identical; cruise -1.56 / -0.78 percent; Mode 06 fuel system monitor 0 on both banks against a 0.7969 limit.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'THE ECU PHASE IS OVER'; CLAUDE.md
E-050,Throttle plate - commanded and actual,eliminated,"Both channels dead flat at idle: commanded 1.57 percent with min = max, actual min = max on a 6.2-8.2 degree axis, while rpm swings 40. Re-confirmed after the repair with min = avg = max across eight windows while rpm swung 39-56. Throttle desired vs actual also tracks within 0.27-0.43 degrees on the value reads.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Measured this session'; 'The throttle is still completely static'
E-051,MAF signal oscillating with rpm,eliminated,"MAF flat at about 3.01 g/s, plus/minus 1.7 percent, while rpm swings 40. Noted honestly that this is EXPECTED at idle (choked flow through a fixed throttle) and therefore rules an air-path disturbance neither in nor out.",measured,2026-09-04,pre_purge_valve,"docs/f150-diagnosis.md 'MAF being flat is expected, not suspicious'"
E-052,Calculated engine load as an independent witness,eliminated,"It is arithmetic the PCM does on MAF, rpm, baro and intake temperature - with MAF constant and rpm swinging, load must swing. A restatement of data already held, not a witness.",inferred,2026-09-04,pre_purge_valve,[155]; docs/f150-diagnosis.md 'Measured this session' table
E-053,Blocked or restricted catalytic converter,eliminated,A live suspect from the downstream O2 asymmetry. Absolute load reached 96.47 percent at wide open throttle with MAF at 215.27 g/s rising smoothly and linearly to the 6832 rpm limiter with no plateau. A restriction chokes the engine at high flow and cannot hide from this test.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What this eliminates outright'; [241]
E-054,Restricted exhaust,eliminated,"Same WOT evidence: 96.47 percent absolute load, no MAF plateau to the limiter.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What this eliminates outright'
E-055,"Restricted intake, air filter, intake tract",eliminated,Same WOT evidence.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What this eliminates outright'
E-056,"Poor volumetric efficiency from wear, valve sealing or cam timing",eliminated,An engine with a mechanical breathing problem cannot reach 96 percent absolute load. Cross-check: 215 g/s x ~1.4 gives about 301 hp against a 302 hp factory rating [rule of thumb].,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What this eliminates outright'; [241]
E-057,Bank 1 catalytic converter - reduced oxygen storage,suspect,"Bank 1's post-cat narrowband voltage averaged 0.58-0.63 V swinging 0.17-0.82 against bank 2's 0.70-0.72 V swinging 0.30-0.83, meaning bank 1 buffers less of the commanded dither. First thing in the investigation to point at one component on one bank. Explicitly recorded as not condemnable from idle data.",measured,2026-09-04,pre_purge_valve,"docs/f150-diagnosis.md 'Bank symmetry - upstream identical, downstream not'; [165]"
E-058,Bank 1 catalytic converter - reduced oxygen storage,eliminated,"Mode 06 catalyst monitor: bank 1 0.3711, bank 2 0.3633 against a 0.8359 limit - both at 44 percent of the failure threshold and within 2 percent of each other. The idle asymmetry was an artefact of reading a swinging narrowband signal at the worst operating point for judging a converter.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'The catalyst question is settled'; CLAUDE.md; [254]
E-059,Both catalytic converters,eliminated,"Mode 06 values at 44 percent of limit, both PASSED and matched; and their good oxygen storage is what makes the fore/aft control loop SLOW at 3.4-4 s - a degraded converter would make the loop run faster.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'THE READING THIS FORCES'; [254];[260]
E-060,Single weak cylinder / uneven cylinder contribution,suspect,"The last ECU-visible mechanism that could produce a felt idle vibration with no code. Would appear at half engine speed, ~5.5 Hz at this idle, and is what the injector-kill balance test and the accelerometer test were designed to name.",assumed,2026-09-05,post_purge_valve_pre_drive,docs/f150-diagnosis.md 'If the leak is uneven'; [228];[242]
E-061,Single weak cylinder / uneven cylinder contribution,eliminated,"Mode 06 per-cylinder misfire (TID $0C): 0, 0, 0, 2, 0, 1 with the ten-cycle EWMA (TID $0B) ZERO on all six; manufacturer TIDs $80 and $81 read 0 percent on every cylinder. A genuinely weak cylinder produces tens to hundreds of counts and a non-zero rolling average. The three counts are plausibly the 6832 rpm rev-limiter hits in the same session. Independently supported by the rpm sweep, which showed no worsening between 1000 and 1800 rpm where half-order excitation would sweep into the mount resonance band.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'MODE 06 - Per-cylinder misfire'; CLAUDE.md; [247];[254]
E-062,Misfire,eliminated,"Misfire monitor Available/COMPLETED with DTC count 0 at the first live-data read, and Mode 06 per-cylinder counts effectively zero after the drive.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Live data'; 'MODE 06'
E-063,Knock / spark retard from detonation,eliminated,"Knock retard reads 0 degrees on every value read; learned octane -0.6, a small adaptive offset.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Values that close out open questions'; CLAUDE.md
E-064,Cylinder balance by injector kill (six rpm drops),untested,Listed as a physical test throughout; never performed. Largely pre-empted by the Mode 06 per-cylinder result.,assumed,2026-09-05,post_drive,docs/DATA-REQUESTS.md 'Physical tests'; docs/FIELD-SHEET.md G4
E-065,Alternator has stopped charging,eliminated,"Battery state of charge ROSE from 88 to 90 percent between sessions and then charging stopped, with [BCM] Vehicle Battery Current falling from 1 A to 0 A and voltage settling to battery level. A failed alternator cannot raise state of charge. This is Ford's smart charging strategy cutting alternator drag once the battery is full.",measured,2026-09-05,pre_purge_valve,docs/f150-diagnosis.md 'The charging question is answered'; CLAUDE.md; [183]
E-066,Alternator diode failure injecting AC ripple into sensor references,untested,"DMM on AC volts across the battery at idle, pass criterion under 0.1 V AC. Deferred at the owner's request ('any thing required multimeter save it and will do it tomorrow') and never performed.",assumed,2026-09-04,pre_purge_valve,docs/DATA-REQUESTS.md 'Physical tests'; CLAUDE.md 'Next - all physical'
E-067,"Ground voltage drops (battery negative to block, block to chassis, battery negative to chassis)",untested,"DMM on DC mV, idling with loads on, each under 0.1 V. Never performed.",assumed,2026-09-04,pre_purge_valve,docs/DATA-REQUESTS.md 'Physical tests'; CLAUDE.md
E-068,Crankshaft position sensor / rpm signal integrity,untested,"The one untested hypothesis that would explain the whole data set: a noisy crank signal would make the PCM BELIEVE rpm is wandering, modulate spark to correct a phantom, and that modulation would make the engine genuinely oscillate. Test by measuring engine speed independently of the PCM - timing-light tach, inductive tach on a plug lead, or the phone accelerometer. Never done.",assumed,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Untested hypothesis that would explain the whole data set'; CLAUDE.md; [146]
E-069,"Wiring / connector intermittency (wiggle test on crank sensor harness, cam sensors, MAF, coils)",untested,"Idling with the rpm graph visible, flex and tap each connector; any rpm response is the fault. Never performed.",assumed,2026-09-04,pre_purge_valve,docs/DATA-REQUESTS.md 'Physical tests'; CLAUDE.md
E-070,"Body/network DTCs U0422, U0140, B11D8 as the cause of the vibration",eliminated,"All three are archive/inactive, they are body-network and restraint codes, and the vibration has been constant since purchase - long before the battery was disconnected. An inactive code cannot produce a continuously present symptom. Their pattern is the signature of a voltage event.",inferred,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'None of it explains the vibration'
E-071,Active restraint system fault (RCM B11D8),cleared,"No airbag warning light, confirmed by the owner, so the entry is historical. [VERIFY] Ford's definition of B11D8 and the (14) sub-code were never confirmed - the sources were unreachable.",reported,2026-09-04,pre_purge_valve,"docs/f150-diagnosis.md 'The restraint entry, on its own account'"
E-072,6R80 torque converter shudder,eliminated,"Documented across 2007-2020 F-150 and raised in the first web search, but it only shows up in gear under light throttle at lockup, never at a standstill - so it is easy to separate from the idle shake, which reproduces in Park.",inferred,2026-09-02,pre_purge_valve,[5]
E-073,Transmission / driveline as the source,eliminated,Symptom reproduces at a standstill in Park.,inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'The better mount test'
E-074,"Coil boots carbon-tracked, or oil in the spark plug wells",untested,"Top reported fix on 2010-2016 F-150s (Ford TSB 14-0160 cited for boots plus gap check); the profile fits a truck where plugs were changed and the shake stayed. Search-summary source only, page never opened. Never inspected.",reported,2026-09-02,pre_purge_valve,[5]
E-075,Spark plug gap incorrect after the plug change,untested,Recommended re-audit of work already done - out-of-box gap is not guaranteed. Never performed.,reported,2026-09-02,pre_purge_valve,[5]
E-076,CMCV / intake runner control flaps (P2004-P2007),untested,Raised from search summaries; the strongest documentation seen was for the 5.0L V8 and the failure rate on the 3.7 was not confirmed. No P2004-P2007 codes are present on this truck. Never investigated further.,reported,2026-09-02,pre_purge_valve,[5]
E-077,Ford long-block replacement program 14B10,eliminated,"Summaries say it covers gaseous-fuel-prep engines only; this VIN's engine code M is the flex-fuel 3.7, not a CNG/LPG prep engine. Not verified against the actual bulletin.",reported,2026-09-02,pre_purge_valve,[5]
E-078,Oil change / oil viscosity as the fix,eliminated,"The reported case was rough-when-cold cured by an oil change; this truck is identical cold and hot, so the mechanism cannot be the same. (5W-30 against a 5W-20 spec is still worth correcting at the next change.)",inferred,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Ideas considered and rejected'
E-079,Carbon cleaning / Seafoam induction service,eliminated,"The 3.7 is PORT injected, so valve-back carbon matters far less than on a direct-injected engine; the injectors were already flow-tested and the throttle body properly cleaned.",inferred,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Ideas considered and rejected'
E-080,A/C compressor cycling as the cause of the rpm oscillation,eliminated,"The oscillation is present with A/C off (spans 37, 74, 38, 30, 53 rpm); A/C on roughly doubles the amplitude (64-81 rpm) but does not create it.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'The measurement'; CLAUDE.md
E-081,Cooling fan engagement,suspect,"One discrete event in five A/C-off windows: rpm dipped to 606-612, held briefly, then recovered with an overshoot to 680. It has width so it is not a dropped frame. Also offered as one explanation for the rpm refusing to hold at 2000 with coolant at 98 C. Never tested directly.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'One discrete event'; 'The owner's observation'
E-082,Ethanol content inference (16.08 percent on nominally E0 pump fuel),untested,"Affects open-loop fuelling only, and the inference depends on the O2 sensors, which were 'cleaned' by an unknown method. Read 16.08 percent in two separate sessions, unchanged. [VERIFY against a second tool] - never done.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Anomalies worth noting'; CLAUDE.md
E-083,Barometric pressure reading 4 percent low (97 kPa at sea level) causing the lean bias,untested,"Direction and rough magnitude match the +2.3 to +3.1 percent trim measured at the time, but the actual local pressure at that hour was never checked, and on a MAF-based strategy the baro term is a correction rather than the primary input. Superseded in practice by the load-cell slope, which showed a fixed-size opening rather than a proportional error.",measured,2026-09-05,pre_purge_valve,docs/f150-diagnosis.md 'Barometric pressure reads 97 kPa'; CLAUDE.md
E-084,MAF reading slightly low (proportional calibration error) as the cause of the lean bias,eliminated,"A MAF or barometric calibration error is proportional and would put the same value in every load cell. The measured correction faded smoothly with airflow - idle +3.13/+2.34, just above idle +0.78, 2000 rpm 0 - which is the behaviour of a fixed-size opening instead.",measured,2026-09-05,pre_purge_valve,docs/f150-diagnosis.md 'CONFIRMED ON BOTH BANKS'; CLAUDE.md
E-085,Normal drift on a twelve-year-old engine as the explanation for the +3 percent lean bias,eliminated,"Offered as one of four candidates for an even lean bias. Ruled out by the same load-cell slope, and finally by the trim returning to -0.78 percent after the purge valve was replaced.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'What replaces it'; 'THE LEAK IS CLOSED'
E-086,Engine coolant temperature / thermostat,cleared,"ECT 93-94 C warm, rising to 98 C after three hours of idling at 36 C ambient - within normal, with the fan expected to cycle around 100-105 C.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Other values from this session'
E-087,Bank imbalance in exhaust temperature,eliminated,"Catalyst temperature Bank 1 Sensor 1 and Bank 2 Sensor 1 read identically (458.9 / 458.9 C, later 459.9 / 459.9 C).",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Values that close out open questions'
E-088,Intake heat soak,eliminated,Ambient air temperature 37 C against intake air temperature 38 C after 37 minutes idling - 1 degree apart.,measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Values that close out open questions'
E-089,Idle governor limit-cycling as NORMAL behaviour rather than a fault,untested,"The live alternative reading of the whole data set. Every measurable property of the commanded dither looks normal: both upstream sensors respond in 0.014 s against a 0.4 s limit, both catalysts sit at 44 percent of limit (good storage makes the fore/aft loop slow), and plus/minus 1.5 percent commanded AFR is within what many Ford PCMs run. Only a control sample on another 3.7 can settle it.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'THE READING THIS FORCES'; 'Amplitude - stated honestly'; [259];[260]
