reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART3-0013,2026-09-04,10:26-10:33,unknown,value_read,unknown,Absolute pedal position E,PART3-0012,unknown,idle,warm,unknown,unknown,unknown,7.45,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Foot off the pedal - normal resting value,[183];[187]
PART3-0014,2026-09-04,10:26-10:33,unknown,value_read,unknown,PCM Odometer,unknown,unknown,idle,warm,unknown,unknown,unknown,131313,unknown,unknown,unknown,km,value_read,yes,pre_purge_valve,Matches the dash,[183];[187]
PART3-0015,2026-09-04,10:26-10:33,unknown,value_read,unknown,ATF temperature,unknown,unknown,idle,warm,unknown,unknown,unknown,87.13,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Transmission fluid normal,[183]
PART3-0016,2026-09-04,10:26-10:33,unknown,value_read,unknown,Ambient air temperature,PART3-0017,unknown,idle,warm,unknown,unknown,unknown,37,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Only 1 degree apart from intake air after 37 min idling - no heat soak,[183]
PART3-0017,2026-09-04,10:26-10:33,unknown,value_read,unknown,Intake air temperature,PART3-0016,unknown,idle,warm,unknown,unknown,unknown,38,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Only 1 degree above ambient after 37 min idling,[183]
PART3-0018,2026-09-04,10:26-10:33,unknown,value_read,unknown,Gear (AT),unknown,unknown,idle,warm,unknown,unknown,unknown,1,unknown,unknown,unknown,gear,value_read,yes,pre_purge_valve,Assistant notes 1 is normal even in Park on this transmission; asked the owner to confirm Park and received no answer,[187]
PART3-0019,2026-09-04,10:26-10:33,unknown,monitor_status,unknown,Monitor status since DTCs cleared. - Misfire,unknown,unknown,idle,warm,unknown,unknown,unknown,Completed,unknown,unknown,unknown,status,value_read,yes,pre_purge_valve,unknown,[183];[187]
PART3-0020,2026-09-04,10:26-10:33,unknown,monitor_status,unknown,Monitor status since DTCs cleared. - Fuel System,unknown,unknown,idle,warm,unknown,unknown,unknown,Not completed,unknown,unknown,unknown,status,value_read,yes,pre_purge_valve,Blocks the on-board test results screen,[183];[187]
PART3-0021,2026-09-04,10:26-10:33,unknown,monitor_status,unknown,Monitor status since DTCs cleared. - Catalyst,unknown,unknown,idle,warm,unknown,unknown,unknown,Not completed,unknown,unknown,unknown,status,value_read,yes,pre_purge_valve,Has not run since the codes were cleared,[183];[187]
PART3-0022,2026-09-04,10:26-10:33,unknown,monitor_status,unknown,Monitor status since DTCs cleared. - Oxygen Sensor,unknown,unknown,idle,warm,unknown,unknown,unknown,Not completed,unknown,unknown,unknown,status,value_read,yes,pre_purge_valve,Has not run since the codes were cleared,[183];[187]
PART3-0023,2026-09-04,unknown,unknown,value_read,unknown,Throttle position,PART3-0024,unknown,idle,warm,unknown,unknown,unknown,12.55,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Different scale from Throttle Position Actually; assistant recorded not to compare the two,[190]
PART3-0024,2026-09-04,unknown,unknown,value_read,unknown,Throttle Position Actually,PART3-0023,unknown,idle,warm,unknown,unknown,unknown,7.56,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,Same butterfly as Throttle position but a different scale,[190]
PART3-0025,2026-09-04,unknown,unknown,value_read,unknown,Evap. system vapor pressure,unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,unknown,value_read,no,pre_purge_valve,Comes back empty on this truck - do not request again,[190]
PART3-0026,2026-09-04,unknown,unknown,value_read,unknown,Oxygen sensor 1 Wide Range Current (mA),unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,mA,value_read,no,pre_purge_valve,Comes back empty on this truck,[190]
PART3-0027,2026-09-04,unknown,unknown,value_read,unknown,Oil Life %,unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,%,value_read,no,pre_purge_valve,Comes back empty on this truck,[190]
PART3-0028,2026-09-04,unknown,unknown,value_read,unknown,(ABS) Front left wheel speed,unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,km/h,value_read,no,pre_purge_valve,Comes back empty on this truck,[190]
PART3-0029,2026-09-04,unknown,unknown,value_read,unknown,(ABS) Front right wheel speed,unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,km/h,value_read,no,pre_purge_valve,Comes back empty on this truck,[190]
PART3-0030,2026-09-04,10:26-10:33,unknown,value_read,unknown,Run time since engine start,unknown,unknown,idle,warm,unknown,unknown,unknown,37,unknown,unknown,unknown,min,value_read,yes,pre_purge_valve,"Stated as ""after 37 min idling"" - approximate, not read off the PID directly",[183]
PART3-0031,2026-09-04,01:00,unknown,value_read,unknown,Run time since engine start,unknown,unknown,idle,warm,unknown,unknown,unknown,3:06:10,unknown,unknown,unknown,h:mm:ss,value_read,yes,pre_purge_valve,Three hours of run time - the basis for calling the long term trims properly learned,[192]
PART3-0032,2026-09-04,01:00,unknown,value_read,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0033,unknown,idle,warm,unknown,unknown,unknown,3.13,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,First genuinely learned long term value; had read 0 all night before this,[194]
PART3-0033,2026-09-04,01:00,unknown,value_read,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0032,unknown,idle,warm,unknown,unknown,unknown,2.34,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Differs from bank 1 by 0.79 percent - one quantisation step - which killed the bank-asymmetry theory,[194]
PART3-0034,2026-09-04,01:00,unknown,value_read,unknown,Oxygen sensor 2 Bank 1 Voltage,PART3-0035,unknown,idle,warm,unknown,unknown,unknown,0.79,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,Downstream sensor snapshot,[194]
PART3-0035,2026-09-04,01:00,unknown,value_read,unknown,Oxygen sensor 2 Bank 2 Voltage,PART3-0034,unknown,idle,warm,unknown,unknown,unknown,unknown,0.67,0.79,0.12,V,value_read,yes,pre_purge_valve,Moved 0.67 to 0.79 between two screens - ranges overlap bank 1 so the downstream asymmetry is weak,[194]
PART3-0036,2026-09-04,01:00,unknown,value_read,unknown,Vehicle Battery Voltage,unknown,unknown,idle,warm,unknown,unknown,unknown,12.8,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,unknown,[194]
PART3-0037,2026-09-04,01:00,unknown,value_read,unknown,Vehicle Battery Current,unknown,unknown,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,A,value_read,yes,pre_purge_valve,Charging stopped after SoC rose 88 to 90 percent,[194]
PART3-0038,2026-09-04,01:00,unknown,value_read,unknown,Battery SoC,unknown,unknown,idle,warm,unknown,unknown,unknown,90,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Rose from 88 percent - proves the alternator charges,[194]
PART3-0039,2026-09-04,01:00,unknown,value_read,STFT B1,Short term fuel % trim - Bank 1,PART3-0032,unknown,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Quoted in the trim trade-off table,[196]
PART3-0040,2026-09-04,01:00,unknown,calculation,unknown,Total fuel correction Bank 1 (STFT + LTFT),unknown,unknown,idle,warm,unknown,unknown,unknown,3.1,unknown,unknown,unknown,%,inferred,yes,pre_purge_valve,Sum of LTFT +3.13 and STFT 0,[196]
PART3-0041,2026-09-04,01:13,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0042,unknown,idle,warm,unknown,unknown,unknown,2.34,2.34,2.34,0,%,curve_read,yes,pre_purge_valve,Flat line across 70 seconds with min = max = average identical,[196]
PART3-0042,2026-09-04,01:13,45:35-45:50,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0041,unknown,idle,warm,unknown,unknown,unknown,0,-1.56,1.56,3.12,%,curve_read,yes,pre_purge_valve,Window centre about 0,[196]
PART3-0043,2026-09-04,01:13,45:55-46:12,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0041,unknown,idle,warm,unknown,unknown,unknown,-1.3,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Window centre; part of a steady walk negative over 70 s,[196]
PART3-0044,2026-09-04,01:13,46:15-46:30,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0041,unknown,idle,warm,unknown,unknown,unknown,-1.4,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Window centre,[196]
PART3-0045,2026-09-04,01:13,46:28-46:43,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0041,unknown,idle,warm,unknown,unknown,unknown,-1.6,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Window centre; signature of long term learning taking over,[196]
PART3-0046,2026-09-04,01:13,unknown,calculation,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0045,unknown,idle,warm,unknown,unknown,unknown,4.5,unknown,unknown,unknown,%,inferred,no,pre_purge_valve,NOT MEASURED - inferred by the assistant from STFT -1.4 and an unchanged total of +3.1,[196]
PART3-0047,2026-09-04,01:13,unknown,calculation,unknown,Total fuel correction Bank 1 (STFT + LTFT),unknown,unknown,idle,warm,unknown,unknown,unknown,3.1,unknown,unknown,unknown,%,inferred,no,pre_purge_valve,Derived from the inferred LTFT value above,[196]
PART3-0048,2026-09-04,unknown,50:57-51:17,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0050,P,idle,warm,unknown,unknown,unknown,2.34,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Idle segment before the throttle was opened,[198];[199]
PART3-0049,2026-09-04,unknown,51:17,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0050,P,shift,warm,unknown,unknown,unknown,unknown,0,2.34,2.34,%,curve_read,yes,pre_purge_valve,"Stepped 2.34 to 0.78 to 0 the instant the throttle opened - a load-cell switch, not a re-learn",[199]
PART3-0050,2026-09-04,unknown,51:17,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0049,P,shift,warm,unknown,unknown,unknown,9.38,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Tip-in enrichment spike at the moment the throttle opened,[199]
PART3-0051,2026-09-04,unknown,51:17-53:45,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0050,P,2000rpm,warm,unknown,unknown,2000,0.00,0.00,0.00,0,%,curve_read,yes,pre_purge_valve,Dead flat for 2 min 28 s while holding about 2000 rpm; assistant flagged it may be an un-learned cell rather than a learned zero,[199];[200]
PART3-0052,2026-09-04,unknown,53:45,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0053,P,shift,warm,unknown,unknown,unknown,unknown,0,2.34,2.34,%,curve_read,yes,pre_purge_valve,Returned 0 to 0.78 to exactly 2.34 the instant the throttle closed,[199]
PART3-0053,2026-09-04,unknown,53:45,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0052,P,overrun,warm,unknown,unknown,unknown,-11.72,unknown,unknown,unknown,%,curve_read,no,pre_purge_valve,Overrun crash; assistant declined to interpret this channel - wrong pairing (B1 short term against B2 long term) and rpm was unrecorded,[199];[200]
PART3-0054,2026-09-04,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0055,P,idle,warm,98,unknown,unknown,3.13,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Idle before the 2000 rpm hold,[201];[202]
PART3-0055,2026-09-04,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0054,P,idle,warm,98,unknown,unknown,2.34,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Idle before the 2000 rpm hold,[201];[202]
PART3-0056,2026-09-04,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0057,P,2000rpm,warm,98,unknown,2000,0,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Held about 2000 rpm for 2 min 7 s,[201];[202]
PART3-0057,2026-09-04,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0056,P,2000rpm,warm,98,unknown,2000,0,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Held about 2000 rpm for 2 min 7 s,[201];[202]
PART3-0058,2026-09-04,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0059,P,idle,warm,98,unknown,unknown,3.12,3.12,3.12,0,%,curve_read,yes,pre_purge_valve,Idle after the hold; min = avg = max. Assistant quoted this as both 3.13 and 3.12 in the same message,[201];[202]
PART3-0059,2026-09-04,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0058,P,idle,warm,98,unknown,unknown,2.34,2.34,2.34,0,%,curve_read,yes,pre_purge_valve,Idle after the hold; min = avg = max; returned to exactly the pre-hold value,[201];[202]
PART3-0060,2026-09-04,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0056,P,2000rpm,warm,98,unknown,unknown,0.78,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Kept flicking up to 0.78 and back during the hold as rpm wandered into a neighbouring load cell - the evidence for a gradient rather than a step,[202]
PART3-0061,2026-09-04,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0057,P,2000rpm,warm,98,unknown,unknown,0.78,unknown,unknown,unknown,%,curve_read,yes,pre_purge_valve,Same flicking to 0.78 as bank 1 but less often,[202]
PART3-0062,2026-09-04,unknown,unknown,value_read,unknown,Engine coolant temperature,unknown,P,2000rpm,warm,98,unknown,2000,98,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Cited as the reason the cooling fan was cycling and loading the engine during the hold,[202]
PART3-0063,2026-09-05,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0065,P,idle,warm,unknown,unknown,unknown,0,0,0,0,%,curve_read,no,post_purge_valve_pre_drive,"Flat min = avg = max, but this is a WIPED default not a learned zero - the KAM was cleared with the valve change",[212];[213];[217]
PART3-0064,2026-09-05,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0066,P,idle,warm,unknown,unknown,unknown,0,0,0,0,%,curve_read,no,post_purge_valve_pre_drive,Wiped default not a learned zero,[212];[213];[217]
PART3-0065,2026-09-05,unknown,unknown,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0063,P,idle,warm,unknown,unknown,unknown,-1.5,-2.0,-1.5,0.5,%,curve_read,yes,post_purge_valve_pre_drive,Read from the curve not the Avg line; assistant quoted -1.5 to -2.0 and used -1.5 as the representative figure,[213];[215]
PART3-0066,2026-09-05,unknown,unknown,graph_paired,STFT B2,Short term fuel % trim - Bank 2,PART3-0064,P,idle,warm,unknown,unknown,unknown,-1.3,-1.8,-0.8,1.0,%,curve_read,yes,post_purge_valve_pre_drive,Read from the curve not the Avg line,[213];[215]
PART3-0067,2026-09-05,unknown,unknown,calculation,unknown,Total fuel correction Bank 1 (STFT + LTFT),unknown,P,idle,warm,unknown,unknown,unknown,-1.8,unknown,unknown,unknown,%,inferred,yes,post_purge_valve_pre_drive,Swing of about 4.6 points from the pre-valve +3.1,[213];[217]
PART3-0068,2026-09-05,unknown,unknown,calculation,unknown,Total fuel correction Bank 2 (STFT + LTFT),unknown,P,idle,warm,unknown,unknown,unknown,-1.3,unknown,unknown,unknown,%,inferred,yes,post_purge_valve_pre_drive,Swing of about 3.6 points from the pre-valve +2.3,[213]
PART3-0069,2026-09-05,unknown,unknown,graph_paired,STFT B1,Short term fuel % trim - Bank 1,PART3-0071,D,idle,warm,unknown,unknown,unknown,0.3,unknown,unknown,unknown,%,curve_read,yes,post_purge_valve_pre_drive,Drive at standstill foot on brake; about 1.8 points different from Park,[214];[215]
PART3-0070,2026-09-05,unknown,unknown,graph_paired,STFT B2,Short term fuel % trim - Bank 2,PART3-0072,D,idle,warm,unknown,unknown,unknown,0.4,unknown,unknown,unknown,%,curve_read,yes,post_purge_valve_pre_drive,Drive at standstill foot on brake,[214];[215]
PART3-0071,2026-09-05,unknown,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0069,D,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,%,curve_read,no,post_purge_valve_pre_drive,Wiped default,[214];[215]
PART3-0072,2026-09-05,unknown,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0070,D,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,%,curve_read,no,post_purge_valve_pre_drive,Wiped default,[214];[215]
PART3-0073,2026-09-05,unknown,14:08-14:23,graph_paired,Engine RPM,Engine RPM,PART3-0074,D,idle,warm,unknown,unknown,unknown,unknown,543,558,15,rpm,curve_read,yes,post_purge_valve_pre_drive,Drive at standstill; no clear rhythm in the trace,[219];[220]
PART3-0074,2026-09-05,unknown,14:08-14:23,graph_paired,Tim. adv.,Timing advance,PART3-0073,D,idle,warm,unknown,unknown,unknown,unknown,12,15,3,deg,curve_read,yes,post_purge_valve_pre_drive,Mostly 12.5-14,[219];[220]
PART3-0075,2026-09-05,unknown,14:28-14:43,graph_paired,Engine RPM,Engine RPM,PART3-0076,D,idle,warm,unknown,unknown,unknown,unknown,543,556,13,rpm,curve_read,yes,post_purge_valve_pre_drive,unknown,[219];[220]
PART3-0076,2026-09-05,unknown,14:28-14:43,graph_paired,Tim. adv.,Timing advance,PART3-0075,D,idle,warm,unknown,unknown,unknown,unknown,12,14,2,deg,curve_read,yes,post_purge_valve_pre_drive,Mostly 12.5-13.5,[219];[220]
PART3-0077,2026-09-05,unknown,14:43-14:58,graph_paired,Engine RPM,Engine RPM,PART3-0078,D,idle,warm,unknown,unknown,unknown,unknown,541,559,18,rpm,curve_read,yes,post_purge_valve_pre_drive,unknown,[219];[220]
PART3-0078,2026-09-05,unknown,14:43-14:58,graph_paired,Tim. adv.,Timing advance,PART3-0077,D,idle,warm,unknown,unknown,unknown,unknown,11,14.5,3.5,deg,curve_read,yes,post_purge_valve_pre_drive,unknown,[219];[220]
PART3-0079,2026-09-05,unknown,14:57-15:12,graph_paired,Engine RPM,Engine RPM,PART3-0080,D,idle,warm,unknown,unknown,unknown,584,unknown,584,unknown,rpm,curve_read,yes,post_purge_valve_pre_drive,A single transient at graph clock 15:03 - something loaded the engine,[219];[220]
PART3-0080,2026-09-05,unknown,14:57-15:12,graph_paired,Tim. adv.,Timing advance,PART3-0079,D,idle,warm,unknown,unknown,584,8.5,8.5,13,4.5,deg,curve_read,yes,post_purge_valve_pre_drive,Timing pulled from 13 down to 8.5 to catch the transient - textbook governor action,[219];[220]
PART3-0081,2026-09-05,unknown,unknown,graph_paired,Engine RPM,Engine RPM,unknown,D,idle,warm,unknown,unknown,unknown,550,unknown,unknown,unknown,rpm,curve_read,yes,post_purge_valve_pre_drive,Idle speed in Drive - Ford commands a lower idle in gear,[220]
PART3-0082,2026-09-05,03:23,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0087,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,44,rpm,curve_read,yes,post_purge_valve_pre_drive,Window 1 of 4; clean regular repeating shape,[221];[222];[257]
PART3-0083,2026-09-05,03:23,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0087,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,55,rpm,curve_read,yes,post_purge_valve_pre_drive,Window 2 of 4,[221];[222];[257]
PART3-0084,2026-09-05,03:23,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0087,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,53,rpm,curve_read,yes,post_purge_valve_pre_drive,Window 3 of 4,[221];[222];[257]
PART3-0085,2026-09-05,03:23,16:03-16:18,graph_paired,Engine RPM,Engine RPM,PART3-0087,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,50,rpm,curve_read,yes,post_purge_valve_pre_drive,"Window 4; four evenly spaced humps with peaks at graph clock 16:07.5, 16:11, 16:14.5, 16:18",[221];[222]
PART3-0086,2026-09-05,03:23,unknown,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,unknown,650,unknown,unknown,unknown,rpm,curve_read,yes,post_purge_valve_pre_drive,Idle speed in Park,[222]
PART3-0087,2026-09-05,03:23,unknown,graph_paired,Tim. adv.,Timing advance,PART3-0082,P,idle,warm,unknown,unknown,650,unknown,11.5,16,4.5,deg,curve_read,yes,post_purge_valve_pre_drive,Roughly twice the swing seen in Drive,[221];[222]
PART3-0088,2026-09-05,03:23,16:03-16:18,graph_paired,Engine RPM,Engine RPM,PART3-0087,P,idle,warm,unknown,unknown,650,3.4,3.4,3.5,0.1,s,curve_read,yes,post_purge_valve_pre_drive,"Period of the idle hunt - 4 cycles per 15 s screen, same as measured on the first night",[222]
PART3-0089,2026-09-05,unknown,8:36-8:54,graph_paired,Engine RPM,Engine RPM,PART3-0090,driving,coast,warm,unknown,unknown,unknown,unknown,1783,1859,76,rpm,curve_read,yes,post_drive,"Still on throttle before the lift; captured during the relearning drive, coasting 100 to 30 km/h",[232];[233]
PART3-0090,2026-09-05,unknown,8:36-8:54,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,PART3-0089,driving,coast,warm,unknown,unknown,unknown,unknown,13.5,15.8,2.3,AFR,curve_read,yes,post_drive,Oscillating in closed loop on throttle,[232];[233]
PART3-0091,2026-09-05,unknown,8:55,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,PART3-0089,driving,overrun,warm,unknown,unknown,unknown,29.38,unknown,unknown,unknown,AFR,curve_read,yes,post_drive,Vertical step to the top of the PID range the instant the throttle closed,[233]
PART3-0092,2026-09-05,unknown,8:58-9:13,graph_paired,Engine RPM,Engine RPM,PART3-0093,driving,overrun,warm,unknown,unknown,unknown,unknown,1238,1631,393,rpm,curve_read,yes,post_drive,Falling during the coast,[233]
PART3-0093,2026-09-05,unknown,8:58-9:13,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,PART3-0092,driving,overrun,warm,unknown,unknown,unknown,29.38,29.38,29.38,0,AFR,curve_read,yes,post_drive,Flat with min = avg = max - injectors fully sealed,[233]
PART3-0094,2026-09-05,unknown,9:15-9:31,graph_paired,Engine RPM,Engine RPM,PART3-0095,driving,overrun,warm,unknown,unknown,unknown,unknown,1053,1190,137,rpm,curve_read,yes,post_drive,unknown,[233]
PART3-0095,2026-09-05,unknown,9:15-9:31,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,PART3-0094,driving,overrun,warm,unknown,unknown,unknown,29.38,29.38,29.38,0,AFR,curve_read,yes,post_drive,Flat,[233]
PART3-0096,2026-09-05,unknown,9:25-9:41,graph_paired,Engine RPM,Engine RPM,PART3-0097,driving,overrun,warm,unknown,unknown,unknown,unknown,843,1203,360,rpm,curve_read,yes,post_drive,Fuel cut held all the way down to about 850 rpm,[233]
PART3-0097,2026-09-05,unknown,9:25-9:41,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,PART3-0096,driving,overrun,warm,unknown,unknown,unknown,29.38,29.38,29.38,0,AFR,curve_read,yes,post_drive,Flat,[233]
PART3-0098,2026-09-05,unknown,unknown,graph_paired,O2S1 air:fuel,Oxygen sensor 1 Wide Range Equivalence ratio,unknown,driving,coast,warm,unknown,unknown,unknown,unknown,13.49,29.38,15.89,AFR,curve_read,yes,post_drive,Full sweep quoted in the bank-comparison table; best O2 response test of the investigation,[238]
PART3-0099,2026-09-05,unknown,unknown,graph_paired,O2S5 air:fuel,Oxygen sensor 5 Wide Range Equivalence ratio,PART3-0100,driving,overrun,warm,unknown,unknown,unknown,29.38,29.38,29.38,0,AFR,curve_read,yes,post_drive,Pegged flat with min = avg = max across two full windows - bank 2 injectors sealed,[237];[238]
PART3-0100,2026-09-05,unknown,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0099,driving,overrun,warm,unknown,unknown,unknown,unknown,1381,1772,391,rpm,curve_read,yes,post_drive,RPM range across the two bank 2 fuel-cut windows,[237];[238]
